provinces,cities,A2,A3_1,A4,A7a,A8a,A10,A15,A18,A42_5,answear,Langchain,key,fact_vnum,answear_vacnum
北京市,北京市,女,1967,满,中专,96000,群众,很健康,非农业户口,完全同意,比较同意,作为一个54岁的满族女性，我生活在北京，拥有中专学历，去年收入为96000元。我的政治面貌是群众，身体健康，户口为非农业户口。考虑到我的年龄和传统观念，我认为夫妻之间应当相互支持和理解，包括在家务分工上。虽然我成长在一个可能更倾向于传统性别角色的时代，但我也认识到现代社会对平等和共同责任的重视。因此，我认为夫妻应当均等分摊家务，这不仅有助于家庭和谐，也能体现夫妻间的平等和尊重。,"平等, 和谐, 尊重",4,3
北京市,北京市,女,1945,汉,中专,60000,共产党员,很健康,居民户口（以前是农业户口）,完全不同意,完全同意,作为一名76岁的汉族女性，我生活在北京，拥有中专学历，去年全年收入为60000元，是一名共产党员，身体健康状况良好，户口登记状况为居民户口（以前是农业户口）。在考虑夫妻是否应当均等分摊家务时，我首先回顾了自己的生活经历和价值观。作为一名共产党员，我坚信平等和公平的原则，这包括家庭生活中的责任分担。同时，我的健康状态允许我积极参与家务，这让我更加支持均等分摊家务的理念。此外，我的居民户口身份也让我更加关注现代家庭生活的平等性。因此，我认为夫妻应当均等分摊家务，这不仅符合我的个人价值观，也符合现代社会对平等和公平的追求。,"平等,公平,健康",0,4
北京市,北京市,男,1949,汉,大学本科（成人高等教育）,96000,共产党员,比较健康,居民户口（以前是农业户口）,完全不同意,比较同意,作为一个72岁的汉族男性，我成长于一个传统的家庭环境中，过去家务主要由女性承担。然而，随着社会的发展和教育的普及，我逐渐认识到性别平等的重要性。我拥有大学本科（成人高等教育）学历，这使我能够更开放地接受新思想。作为一名共产党员，我支持男女平等的理念。虽然我现在的身体健康状况比较健康，但我理解家务劳动对家庭和谐的重要性。因此，我认为夫妻应当均等分摊家务，这有助于促进家庭内部的平等和相互尊重。,"性别平等, 家庭和谐, 相互尊重",0,3
北京市,北京市,男,1986,汉,大学本科（成人高等教育）,160000,群众,比较健康,农业户口,比较同意,完全同意,作为一个35岁的男性，我目前住在北京市，拥有大学本科（成人高等教育）学历，去年全年收入为160000元。我的政治面貌是群众，身体健康状况比较健康，户口登记状况为农业户口。考虑到我的身份背景，我认为夫妻应当均等分摊家务。首先，作为现代社会的成员，我认同性别平等的理念，认为家务不应仅由一方承担。其次，我的收入水平属于中等，夫妻双方共同承担家务可以减轻经济压力，提高生活质量。最后，我的健康状况比较健康，有能力参与家务劳动，这也符合家庭和谐的需要。,"性别平等,经济压力,家庭和谐",3,4
北京市,北京市,女,1958,汉,中专,48000,群众,比较健康,非农业户口,比较同意,比较同意,作为一个63岁的汉族女性，我生活在北京，拥有中专学历，去年全年收入为48000元，政治面貌为群众，身体健康状况比较健康，户口登记状况为非农业户口。考虑到我的年龄和成长背景，我倾向于认为夫妻应当均等分摊家务。首先，现代社会倡导性别平等，夫妻双方都有工作和收入，因此家务也应当共同承担。其次，我个人的健康状况比较健康，能够参与家务劳动，这也让我更倾向于支持均等分摊。最后，我的非农业户口背景让我更倾向于接受现代家庭观念，认为夫妻双方在家庭中应当有平等的责任和义务。,"性别平等, 健康状况, 现代观念",3,3
北京市,北京市,男,1996,汉,大学专科（成人高等教育）,600000,群众,比较健康,居民户口（以前是非农业户口）,比较同意,完全同意,作为一个25岁的男性，我目前居住在北京市，拥有大学专科（成人高等教育）学历，去年全年收入为600000元。我的政治面貌是群众，身体健康状况比较健康，户口登记状况为居民户口（以前是非农业户口）。考虑到我的教育背景和收入水平，我认为夫妻之间应当平等分担家务。首先，现代社会倡导性别平等，夫妻双方都有工作和收入，因此家务也应当均等分摊。其次，均等分摊家务有助于维护夫妻关系的和谐，减少因家务分配不均而产生的矛盾。最后，作为年轻人，我更加认同现代家庭观念，认为夫妻双方应当共同承担家庭责任。,"性别平等, 家庭和谐, 共同责任",3,4
北京市,北京市,女,1983,汉,研究生及以上,400000,共青团员,比较健康,居民户口（以前是非农业户口）,完全同意,完全同意,作为一位38岁的女士，我住在北京市，拥有研究生及以上学历，去年全年收入为400000元。我的政治面貌是共青团员，身体健康状况比较健康，户口登记状况为居民户口。基于我的身份信息，我认为夫妻应当均等分摊家务。首先，作为高学历和高收入群体的一员，我深知平等和公平的重要性，这同样适用于家庭生活。其次，作为共青团员，我认同男女平等的理念，认为在家庭中男女双方应共同承担责任。最后，我的健康状况比较健康，有能力参与家务劳动，这也支持我同意夫妻均等分摊家务的观点。,平等 公平 责任,4,4
北京市,北京市,男,1945,汉,普通高中,78000,群众,一般,非农业户口,完全同意,比较同意,作为一个76岁的汉族男性，我成长在一个传统的家庭环境中，那时家务主要由女性承担。然而，随着社会的发展，我逐渐认识到男女平等的观念。虽然我个人的经历可能更倾向于传统的家庭分工，但我也理解现代社会中夫妻共同承担家务的重要性。考虑到我的年龄和背景，我可能不会完全适应这种变化，但我尊重并理解这种趋势。因此，我选择'比较同意'夫妻应当均等分摊家务。,"传统观念, 社会变化, 尊重理解",4,3
北京市,北京市,男,1987,汉,大学专科（正规高等教育）,100000,群众,一般,农业户口,比较同意,比较同意,作为一个34岁的男性，我住在北京市，拥有大学专科学历，去年全年收入为100000元，政治面貌为群众，身体健康状况一般，户口登记状况为农业户口。考虑到我的身份和背景，我认为夫妻应当均等分摊家务。首先，作为受过高等教育的人，我理解性别平等的重要性，认为家务不应仅由一方承担。其次，我的收入水平一般，夫妻双方共同承担家务可以减轻经济压力，提高生活质量。最后，我的身体健康状况一般，均等分摊家务有助于保持身体健康，避免过度劳累。,"性别平等,经济压力,身体健康",3,3
北京市,北京市,男,1991,汉,大学本科（正规高等教育）,200000,群众,比较健康,农业户口,无所谓同意不同意,完全同意,作为一个30岁的男性，我目前住在北京市，拥有大学本科学历，去年全年收入为200000元。我的政治面貌是群众，身体健康状况比较健康，户口登记状况为农业户口。考虑到我的身份信息，我认为夫妻应当均等分摊家务。首先，作为受过高等教育的人，我理解性别平等的重要性，认为家务不应仅由一方承担。其次，我的收入水平相对较高，有能力为家庭提供经济支持，但我也认为家务是家庭共同的责任，不应仅由经济能力决定。最后，我的健康状况比较健康，有能力参与家务劳动，这也支持我同意夫妻均等分摊家务的观点。,性别平等 共同责任 健康状况,2,4
