provinces,cities,A2,A3_1,A4,A7a,A8a,A10,A15,A18,A42_1,answear,Langchain,key,fact_vnum,answear_vacnum
北京市,北京市,女,1967,满,中专,96000,群众,很健康,非农业户口,完全不同意,完全不同意,作为一个54岁的满族女性，我生活在北京，拥有中专学历，去年全年收入为96000元。我的政治面貌是群众，身体健康状况良好，户口登记为非农业户口。结合我的身份信息，我认为在现代社会，男女应该平等地分担家庭和事业的责任。虽然传统观念认为男人应以事业为重，女人应以家庭为重，但我的个人经历和观察告诉我，这种观念已经不再适应现代社会的发展。我支持男女在家庭和事业上都能有平等的机会和选择，而不是被性别角色所限制。,"平等, 现代, 选择",0,0
北京市,北京市,女,1945,汉,中专,60000,共产党员,很健康,居民户口（以前是农业户口）,比较不同意,完全不同意,作为一位76岁的汉族女士，我的教育背景是中专，且我是一名共产党员。我的个人年收入为60000元，居住在北京市，户口登记为居民户口（以前是农业户口）。我的健康状况非常良好。考虑到我的年龄、教育背景、政治面貌和居住地，我认为传统的性别角色分工在现代社会中已经不再适用。尽管我成长在一个强调'男人以事业为重，女人以家庭为重'的时代，但作为一名共产党员，我坚信男女平等，每个人都应该根据个人的兴趣和能力选择自己的生活方式，而不是被性别所限制。此外，我的健康状况允许我保持积极的生活态度，这进一步支持了我对性别平等的看法。,性别平等 生活方式 个人选择,1,0
北京市,北京市,男,1949,汉,大学本科（成人高等教育）,96000,共产党员,比较健康,居民户口（以前是农业户口）,比较不同意,比较同意,作为一个72岁的汉族男性，我经历了中国社会的巨大变迁。我的学历是大学本科（成人高等教育），这让我在职业生涯中有了更多的机会。我是一名共产党员，这让我对社会责任和家庭责任有着深刻的理解。我的身体健康状况比较健康，这让我能够继续为社会和家庭做出贡献。我的户口登记状况为居民户口（以前是农业户口），这反映了中国城市化进程中的个人经历。基于这些身份信息，我认为男人和女人在家庭和社会中都有各自的重要角色。男人以事业为重，女人以家庭为重，这种传统观念在一定程度上反映了社会分工的现实，但也需要与时俱进，尊重个人的选择和能力。,"传统观念,社会分工,个人选择",1,3
北京市,北京市,男,1986,汉,大学本科（成人高等教育）,160000,群众,比较健康,农业户口,比较不同意,比较同意,作为一个35岁的男性，我目前居住在北京市，拥有大学本科（成人高等教育）学历，去年全年收入为160000元。我的政治面貌是群众，身体健康状况比较健康，户口登记状况为农业户口。考虑到我的身份和背景，我认为男人以事业为重，女人以家庭为重的观点有一定的合理性。首先，作为家庭的主要经济来源，我需要专注于事业发展以确保家庭的经济稳定。其次，我的农业户口背景可能让我更倾向于传统的家庭角色分工。然而，我也意识到现代社会对性别角色的看法正在发生变化，女性在事业上同样可以取得巨大成就。因此，我对这个问题的态度是有所保留的。,"经济责任,传统观念,社会变化",1,3
北京市,北京市,女,1958,汉,中专,48000,群众,比较健康,非农业户口,比较不同意,比较不同意,我是一位63岁的汉族女士，住在北京市，拥有中专学历，去年全年收入为48000元，政治面貌为群众，身体健康状况比较健康，户口登记状况为非农业户口。结合我的身份信息，我认为男人以事业为重，女人以家庭为重的观念在现代社会中已经有所改变。首先，我作为一位非农业户口的居民，生活在北京市这样的大城市，见证了女性在职场中的崛起和家庭角色的多样化。其次，我的学历虽然只有中专，但我通过自己的努力和经历，认识到女性同样可以在事业上取得成功，而男性也可以在家庭中承担更多责任。最后，我的收入虽然不高，但足以维持生活，这让我更加注重家庭和事业的平衡。因此，我认为男人和女人在事业和家庭上的责任应该是平等的，而不是单一的以性别来划分。,"性别平等, 社会变迁, 家庭责任",1,1
北京市,北京市,男,1996,汉,大学专科（成人高等教育）,600000,群众,比较健康,居民户口（以前是非农业户口）,比较同意,比较不同意,作为一个25岁的男性，我目前居住在北京市，拥有大学专科（成人高等教育）学历，去年全年收入为600000元。我的政治面貌是群众，身体健康状况比较健康，户口登记状况为居民户口（以前是非农业户口）。考虑到我的身份和背景，我认为在现代社会中，男性和女性都应该在事业和家庭之间找到平衡。虽然传统观念认为男人应以事业为重，女人应以家庭为重，但现代社会更强调性别平等和个人的全面发展。我的收入水平和社会地位使我能够支持这种观点，即无论性别，每个人都应有追求事业和家庭幸福的权利。因此，我倾向于不同意这种传统的性别角色分工。,"性别平等, 个人发展, 现代社会",3,1
北京市,北京市,女,1983,汉,研究生及以上,400000,共青团员,比较健康,居民户口（以前是非农业户口）,比较不同意,完全不同意,作为一个38岁的女性，我拥有研究生及以上的学历，去年全年收入为40万元，居住在北京市，户口为居民户口。我的政治面貌是共青团员，身体健康状况比较健康。基于我的身份和背景，我认为男女在事业和家庭上的责任应该是平等的。首先，我的高学历和高收入表明我在事业上取得了相当的成就，这并不影响我在家庭中的角色。其次，作为现代女性，我坚信性别不应成为决定个人责任和角色的唯一因素。最后，我的健康状况允许我在事业和家庭之间找到平衡，这进一步支持了我对男女平等责任的观点。,"平等, 现代女性, 平衡",1,0
北京市,北京市,男,1945,汉,普通高中,78000,群众,一般,非农业户口,比较不同意,无所谓同意不同意,作为一个76岁的汉族男性，我成长在一个传统的家庭环境中，那个时代普遍认为男人应该以事业为重，女人则更多地承担家庭责任。我的学历是普通高中，这反映了我在那个时代的教育背景，也影响了我的价值观。虽然我现在的收入并不高，但我仍然认为男人应该承担起养家糊口的责任。然而，随着社会的发展，我也看到越来越多的女性在事业上取得了成功，这让我对传统的性别角色分工有了新的思考。我的健康状况一般，这让我更加珍惜家庭生活，也让我意识到家庭和事业之间的平衡对每个人都很重要。因此，我对这个问题持中立态度，认为无论是男人还是女人，都应该根据个人情况和家庭需求来平衡事业和家庭。,传统观念、社会变迁、个人经历,1,2
北京市,北京市,男,1987,汉,大学专科（正规高等教育）,100000,群众,一般,农业户口,无所谓同意不同意,比较同意,作为一个34岁的男性，我目前住在北京市，拥有大学专科的学历，去年全年总收入为100000元。作为一个汉族群众，我的户口登记状况为农业户口，且身体健康状况一般。在这样的背景下，我认为男人以事业为重，女人以家庭为重的观念有其合理性，但也需要根据具体情况来看。首先，作为一个男性，我承担着家庭的主要经济责任，因此事业对我而言非常重要。其次，我的学历和收入水平也促使我将更多精力投入到事业中，以提升家庭的生活质量。然而，我也认为女性在家庭中的角色同样重要，她们的管理和照顾对家庭的和谐至关重要。因此，我倾向于比较同意这一观点，但同时也认为男女在家庭和事业中的角色可以灵活调整，根据各自的情况和意愿来平衡。,性别角色，经济责任，家庭和谐,2,3
北京市,北京市,男,1991,汉,大学本科（正规高等教育）,200000,群众,比较健康,农业户口,完全不同意,完全不同意,作为一个30岁的男性，我目前住在北京市，拥有大学本科学历，去年全年收入为200000元。我的政治面貌是群众，身体健康状况比较健康，户口登记状况为农业户口。考虑到我的身份和背景，我认为男人以事业为重，女人以家庭为重的观点在现代社会中已经不再适用。首先，现代社会强调性别平等，男女在事业和家庭中都应该有平等的责任和机会。其次，我的收入水平表明我在事业上取得了一定的成就，但这并不意味着家庭责任就应该由女性承担。最后，我的健康状况和户口状况也让我意识到，家庭和事业的平衡对每个人都很重要，不应该因为性别而有所偏重。,"性别平等, 社会责任, 家庭事业平衡",0,0
